기록일시(KST),가격,24h변동%,OI(BTC),OI추세,Notional OI(USD),TopTrader L/S(계정) 추세,TopTrader L/S(포지션) 추세,Global L/S 추세,Taker BuySellRatio(최근),Taker 구간 Min,Taker 구간 Max,Mark Price,Index Price,Basis,Funding Rate(%),다음 정산(KST),BTC 시총(USD),OI/시총비율(%),해석(자동)
2026-09-15 10:59:55,77888.1,1.033,103274.353,103504.7→103243.5,8043843134,1.2041→1.3170,2.0380→2.1363,1.1589→1.2517,1.9659,0.4886,3.4467,77888.2,77919.01783,-30.81782609,0.004116,2026-09-15 17:00,1566037417022,0.5136430999,데이터 부족
2026-09-15 11:09:55,77922,0.915,103320.263,103518.2→103232.6,8050921533,1.2051→1.3207,2.0489→2.1731,1.1561→1.2548,0.9881,0.4886,3.4467,77940,77962.9163,-22.91630435,0.004156,2026-09-15 17:00,1564070717170,0.5147415296,중립·박스권
2026-09-15 11:19:55,77879.5,0.793,103156.454,103467.5→103214.9,8033773059,1.2065→1.3261,2.0528→2.1795,1.1570→1.2614,3.592,0.4886,3.592,77890.28955,77927.75978,-37.47023189,0.004603,2026-09-15 17:00,1565910759038,0.5130415647,중립·박스권
2026-09-15 11:29:55,77919.3,0.563,102995.958,103517.3→103101.0,8025372950,1.2139→1.3283,2.0637→2.1796,1.1631→1.2645,2.0006,0.4886,3.592,77919.2,77964.02413,-44.82413043,0.004758,2026-09-15 17:00,1566421818186,0.5123379193,중립·박스권
2026-09-15 11:39:55,77856.8,0.545,102919.332,103467.3→102970.0,8012969848,1.2202→1.3326,2.0747→2.1792,1.1744→1.2696,1.3304,0.4886,3.592,77853.75841,77884.47457,-30.71615218,0.004436,2026-09-15 17:00,1564431493476,0.5121969151,중립·박스권 · 계정/포지션 L/S 디버전스(소액↔대형 반대 포지셔닝 가능성)
2026-09-15 11:49:55,77789.2,0.314,102931.619,103479.6→102891.9,8006968297,1.2232→1.3326,2.0750→2.1787,1.1772→1.2696,1.7168,0.4886,3.592,77793.59242,77834.11196,-40.51953623,0.004593,2026-09-15 17:00,1563400513679,0.5121508038,중립·박스권
2026-09-15 11:59:55,77883.3,0.395,102984.766,103351.1→102904.0,8020793426,1.2282→1.3337,2.0859→2.1771,1.1801→1.2696,0.9742,0.6426,3.592,77883.11871,77907.66913,-24.55042029,0.004773,2026-09-15 17:00,1564149353422,0.5127894858,완만한 롱 우위 가능성 · 계정/포지션 L/S 디버전스(소액↔대형 반대 포지셔닝 가능성)
2026-09-15 12:09:55,77755,-0.015,103306.498,103348.7→103133.9,8032596752,1.2346→1.3359,2.0936→2.1751,1.1867→1.2717,0.4421,0.4421,3.592,77755,77783.03717,-28.03717391,0.004867,2026-09-15 17:00,1561918197296,0.5142776853,신규 숏 유입 가능성 · 계정/포지션 L/S 디버전스(소액↔대형 반대 포지셔닝 가능성)
2026-09-15 12:19:55,77730,0.02,103378.714,103250.3→103305.4,8035627439,1.2351→1.3332,2.1057→2.1932,1.1872→1.2650,0.7166,0.4421,3.592,77730.1,77754.35761,-24.2576087,0.005233,2026-09-15 17:00,1561107870535,0.5147387692,중립·박스권 · 계정/포지션 L/S 디버전스(소액↔대형 반대 포지셔닝 가능성)
2026-09-15 12:29:55,77818.7,0.006,103436.922,103223.5→103397.8,8049326802,1.2396→1.3354,2.1062→2.1988,1.1920→1.2671,3.7174,0.4421,3.7174,77818.7,77830.89,-12.19,0.006002,2026-09-15 17:00,1562720325823,0.5150842841,완만한 롱 우위 가능성
2026-09-15 12:39:55,77792.2,0.256,103345.981,103127.0→103339.2,8039511223,1.2507→1.3742,2.1189→2.1965,1.2026→1.2978,1.8085,0.4421,3.7174,77786.01399,77823.13087,-37.11687682,0.006698,2026-09-15 17:00,1563064387588,0.5143429335,중립·박스권 · 계정/포지션 L/S 디버전스(소액↔대형 반대 포지셔닝 가능성)
